STATE,TOTAL VOTES,BILL CLINTON VOTES,BILL CLINTON %,BILL CLINTON EV,GEORGE HW BUSH VOTES,GEORGE HW BUSH %,GEORGE HW BUSH EV,ROSS PEROT VOTES,ROSS PEROT %,ROSS PEROT EV
Alabama,1688060,690080,40.9,,804283,47.6,9,183109,10.8, 
Alaska,258506,78294,30.3,,102000,39.5,3,73481,28.4, 
Arizona,1486975,543050,36.5,,572086,38.5,8,353741,23.8, 
Arkansas,950653,505823,53.2,6,337324,35.5,,99132,10.4, 
California,11131721,5121325,46.0,54,3630574,32.6,,2296006,20.6, 
Colorado,1569180,629681,40.1,8,562850,35.9,,366010,23.3, 
Connecticut,1616332,682318,42.2,8,578313,35.8,,348771,21.6, 
Delaware,289735,126054,43.5,3,102313,35.3,,59213,20.4, 
Florida,5314392,2072698,39.0,,2173310,40.9,25,1053067,19.8, 
Georgia,2321125,1008966,43.5,13,995252,42.9,,309657,13.3, 
Hawaii,372842,179310,48.1,4,136822,36.7,,53003,14.2, 
Idaho,482142,137013,28.4,,202645,42.0,4,130395,27.0, 
Illinois,5050157,2453350,48.6,22,1734096,34.3,,840515,16.6, 
Indiana,2305871,848420,36.8,,989375,42.9,12,455934,19.8, 
Iowa,1354607,586353,43.3,7,504891,37.3,,253468,18.7, 
Kansas,1157335,390434,33.7,,449951,38.9,6,312358,27.0, 
Kentucky,1492900,665104,44.6,8,617178,41.3,,203944,13.7, 
Louisiana,1790017,815971,45.6,9,733386,41.0,,211478,11.8, 
Maine,679499,263420,38.8,4,206504,30.4,,206820,30.4, 
Maryland,1985046,988571,49.8,10,707094,35.6,,281414,14.2, 
Massachusetts,2773700,1318662,47.5,12,805049,29.0,,630731,22.7, 
Michigan,4274673,1871182,43.8,18,1554940,36.4,,824813,19.3, 
Minnesota,2347948,1020997,43.5,10,747841,31.9,,562506,24.0, 
Mississippi,981793,400258,40.8,,487793,49.7,7,85626,8.7, 
Missouri,2391565,1053873,44.1,11,811159,33.9,,518741,21.7, 
Montana,410611,154507,37.6,3,144207,35.1,,107225,26.1, 
Nebraska,737546,216864,29.4,,343678,46.6,5,174104,23.6, 
Nevada,506318,189148,37.4,4,175828,34.7,,132580,26.2, 
New Hampshire,537943,209040,38.9,4,202484,37.6,,121337,22.6, 
New Jersey,3343594,1436206,43.0,15,1356865,40.6,,521829,15.6, 
New Mexico,569986,261617,45.9,5,212824,37.3,,91895,16.1, 
New York,6926925,3444450,49.7,33,2346649,33.9,,1090721,15.7, 
North Carolina,2611850,1114042,42.7,,1134661,43.4,14,357864,13.7, 
North Dakota,308133,99168,32.2,,136244,44.2,3,71084,23.1, 
Ohio,4939967,1984942,40.2,21,1894310,38.3,,1036426,21.0, 
Oklahoma,1390359,473066,34.0,,592929,42.6,8,319878,23.0, 
Oregon,1462643,621314,42.5,7,475757,32.5,,354091,24.2, 
Pennsylvania,4959810,2239164,45.1,23,1791841,36.1,,902667,18.2, 
Rhode Island,453477,213299,47.0,4,131601,29.0,,105045,23.2, 
South Carolina,1202527,479514,39.9,,577507,48.0,8,138872,11.5, 
South Dakota,336254,124888,37.1,,136718,40.7,3,73295,21.8, 
Tennessee,1982638,933521,47.1,11,841300,42.4,,199968,10.1, 
Texas,6154018,2281815,37.1,,2496071,40.6,32,1354781,22.0, 
Utah,743999,183429,24.7,,322632,43.4,5,203400,27.3, 
Vermont,289701,133592,46.1,3,88122,30.4,,65991,22.8, 
Virginia,2558665,1038650,40.6,,1150517,45.0,13,348639,13.6, 
Washington,2288230,993037,43.4,11,731234,32.0,,541780,23.7, 
West Virginia,683762,331001,48.4,5,241974,35.4,,108829,15.9, 
Wisconsin,2531114,1041066,41.1,11,930855,36.8,,544479,21.5, 
Wyoming,200598,68160,34.0,,79347,39.6,3,51263,25.6, 
Totals,104425014,44909326,43.0,370,39103882,37.4,168,19741657,18.9,0